GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
final-project,ru.sberstart.finalproject.bankaccount.domain.entity,BankAccount,138,0,14,0,26,0,20,0,13,0
final-project,ru.sberstart.finalproject.bank.api,BankController,33,6,0,0,6,3,3,1,3,1
final-project,ru.sberstart.finalproject.global.exceptions,UnsuccessfulOperationException,3,0,0,0,1,0,1,0,1,0
final-project,ru.sberstart.finalproject.global.exceptions,NotAvailableActionsException,3,0,0,0,1,0,1,0,1,0
final-project,ru.sberstart.finalproject.global.exceptions,RecordNotFoundException,3,0,0,0,1,0,1,0,1,0
final-project,ru.sberstart.finalproject.global.exceptions,ForbiddenTransactionException,3,0,0,0,1,0,1,0,1,0
final-project,ru.sberstart.finalproject.global.exceptions,CryptoCodingException,3,0,0,0,1,0,1,0,1,0
final-project,ru.sberstart.finalproject.user.infrastructure.configuration,UserConfiguration,0,18,0,0,0,4,0,4,0,4
final-project,ru.sberstart.finalproject.card.application.manager,CardManager,178,7,12,0,46,2,15,2,9,2
final-project,ru.sberstart.finalproject.card.application.manager,CardSecretManager,52,6,2,0,10,3,6,1,5,1
final-project,ru.sberstart.finalproject.card.application.utils,CryptoUtil,200,21,2,0,44,7,7,2,6,2
final-project,ru.sberstart.finalproject.card.api.dto.inner,CardCustomizingDTO,24,0,0,0,10,0,7,0,7,0
final-project,ru.sberstart.finalproject.card.api.dto.inner,CardSecretInformationDTO,27,0,0,0,1,0,5,0,5,0
final-project,ru.sberstart.finalproject.card.api.dto.inner,CardGeneralInformationDTO,63,0,0,0,1,0,11,0,11,0
final-project,ru.sberstart.finalproject.card.api.dto.inner,CardSecretRecord,33,0,0,0,1,0,6,0,6,0
final-project,ru.sberstart.finalproject.user.domain.entity.enums,UserStatus,21,0,0,0,4,0,1,0,1,0
final-project,ru.sberstart.finalproject.user.domain.entity.enums,UserRoles,21,0,0,0,4,0,1,0,1,0
final-project,ru.sberstart.finalproject.card.api,CardController,77,6,0,0,14,3,7,1,7,1
final-project,ru.sberstart.finalproject.bankaccount.application.service,TransactionService,15,3,0,0,4,1,1,1,1,1
final-project,ru.sberstart.finalproject.bankaccount.application.service,BankAccountService,142,12,7,0,27,5,14,1,9,1
final-project,ru.sberstart.finalproject.bankaccount.api.dto.inner,BankAccountFullInformationDTO,87,0,0,0,1,0,15,0,15,0
final-project,ru.sberstart.finalproject.bankaccount.api.dto.inner,BankAccountCardIssueInformationDTO,33,0,0,0,1,0,6,0,6,0
final-project,ru.sberstart.finalproject.bank.application.service,BankService,44,6,0,0,8,3,3,1,3,1
final-project,ru.sberstart.finalproject.user.api.dto.request,UserStatusRequestDTO,15,0,0,0,1,0,3,0,3,0
final-project,ru.sberstart.finalproject.user.api.dto.request,UserRolesRequestDTO,15,0,0,0,1,0,3,0,3,0
